config,global_heads,local_heads,seed,global_f1,global_mAP,global_acc,SPH_f1,PTB-XL_f1,SXPH_f1,G12EC_f1,SPH_mAP,PTB-XL_mAP,SXPH_mAP,G12EC_mAP,SPH_acc,PTB-XL_acc,SXPH_acc,G12EC_acc
global6_local2,6,2,unknown,0.6189382103360598,0.5018885147400318,0.44161105815061963,0.8777188052867104,0.7499260136134951,0.8630079091951941,0.755741127348643,0.6056359532689728,0.6078122792863035,0.40475207423925974,0.44066320505012974,0.8343366778149387,0.5830704521556257,0.7826027019575407,0.5487510072522159
global6_local2,6,2,1024,0.5646558563132675,0.4403934009942234,0.3861415633937083,0.8665045978226403,0.698004254888056,0.8662578207272502,0.6892287666775139,0.5514447566208227,0.5610888159745576,0.3691830944213622,0.3819116443426699,0.8205128205128205,0.5105152471083071,0.8017645437000276,0.45769540692989524
global6_local2,6,2,123,0.579225352112676,0.43922305176717896,0.4463179218303146,0.8739530988274706,0.7197692919649961,0.8772601049058932,0.7117460317460318,0.5842200119686191,0.5761919216434046,0.4023742144215497,0.41687225192687977,0.8356744704570791,0.5415352260778128,0.8141714915908465,0.5036261079774376
global6_local2,6,2,42,0.5831279181045733,0.4783446742017549,0.43338894184938037,0.877035490605428,0.7247733255337818,0.8682275067418485,0.7337740384615384,0.590452661701495,0.6400481943424781,0.4043369498053682,0.42582782240176603,0.8334448160535117,0.5318086225026288,0.8020402536531569,0.5060435132957293
global6_local2,6,2,456,0.6173254835996635,0.4691270432185095,0.481708770257388,0.8816309548574994,0.7378149625449947,0.8644224259954458,0.7488855869242199,0.6055265499373603,0.6070001045118261,0.3979535396316211,0.4384619102410072,0.8374581939799332,0.5481072555205048,0.7974910394265233,0.5269943593875906
global6_local2,6,2,789,0.5315456907335536,0.3630162820547,0.3674928503336511,0.8488578283091687,0.6225641025641026,0.8062990165567036,0.6522441072005166,0.49756352740113535,0.5001708075458359,0.34779914072170554,0.3727831465432945,0.7928651059085842,0.41430073606729756,0.7433140336366143,0.42949234488315874
global7_local1,7,1,unknown,0.0,0.0782248587507842,0.0,0.0,0.0,0.0,0.0,0.06665024701290664,0.09950016022548494,0.07367135453297975,0.09826095459964375,0.0,0.0,0.0,0.0
global7_local1,7,1,unknown,0.6610764326091033,0.4628150425165769,0.533663012392755,0.8752839149287631,0.7263853000287109,0.8628310502283105,0.752019144481005,0.594879792620502,0.5905832401844545,0.4027456800452118,0.43185569906298227,0.8285395763656633,0.5344374342797056,0.793631100082713,0.5495568090249798
global7_local1,7,1,1024,0.6238857321586821,0.45865521772773626,0.45739990467111535,0.8757457313310019,0.7156506783871585,0.8629901960784314,0.7367164179104477,0.5917650459856343,0.5949130192735153,0.397503939478226,0.434004587464082,0.8247491638795986,0.5215562565720294,0.7911497105045492,0.5181305398871877
global7_local1,7,1,123,0.6829519295870007,0.46278659757503215,0.5444470924690181,0.8764578387862525,0.7160635650009574,0.8662762323084432,0.7473942366646229,0.5984629462750176,0.5946101603094072,0.40380517394062404,0.44197181201422475,0.8256410256410256,0.5289169295478444,0.7995588640749931,0.5447219983883964
global7_local1,7,1,42,0.6519015778206517,0.46538534192259984,0.5039918970448046,0.8753736728172353,0.7341796315739239,0.8637751985339035,0.7429934406678592,0.5930284901704936,0.5804963826558416,0.3960527183327541,0.4261353915176846,0.8263099219620959,0.5494216614090431,0.7981803143093466,0.5414987912973409
global7_local1,7,1,456,0.596560552092609,0.4598363458907418,0.4646091515729266,0.8770909090909091,0.7252108170979936,0.8666624835288951,0.7258167841127482,0.6025096325646309,0.6053252326838376,0.404171341588898,0.4385319032271157,0.8289855072463768,0.5417981072555205,0.8083815825751309,0.5181305398871877
global7_local1,7,1,789,0.6160192506015812,0.4522660898651364,0.4680648236415634,0.8705343193417352,0.7228600201409869,0.8794640113098531,0.7246376811594203,0.5856618419031083,0.605212271727037,0.40816220153641913,0.43782242459580073,0.8234113712374582,0.545478443743428,0.8205128205128205,0.5092667203867849
global8_local0,8,0,1024,0.7323138708680877,0.558604406583017,0.6272044804575786,0.8240779991521832,0.572987721691678,0.7777313183202915,0.6978967495219885,0.585740049980881,0.5784362477087963,0.40276678076355815,0.44431056289121323,0.7500557413600892,0.38170347003154576,0.7014061207609594,0.5020145044319098
global8_local0,8,0,123,0.730801729708236,0.5603315973227135,0.5931839847473784,0.789420957723903,0.5812917594654788,0.7916739548714361,0.6836070653858073,0.5754827825999862,0.5788061062329598,0.40375405486848487,0.4246681122314359,0.6693422519509477,0.36198738170347006,0.6874827681279294,0.47542304593070106
global8_local0,8,0,42,0.7247332886667011,0.5414230989772898,0.6179694947569113,0.7959703075291622,0.5456834155040386,0.7967616191904048,0.6723484848484849,0.556803373161669,0.5429901124444283,0.4010093805796237,0.4275981701393137,0.7168338907469343,0.35962145110410093,0.7180865729252826,0.467365028203062
global8_local0,8,0,456,0.7065476808135311,0.5137447781429458,0.5921711153479504,0.7837003936588999,0.539349871685201,0.7658730158730159,0.6597156398104266,0.5684273352265595,0.5259503713712494,0.3777313349647512,0.39133861512452145,0.6813823857302118,0.3351735015772871,0.6954783567686793,0.4536663980660757
global8_local0,8,0,789,0.73965171985501,0.5663276401990918,0.6308984747378455,0.840885578315746,0.5940026609354211,0.7736610853817837,0.6992433795712484,0.5769302304243785,0.5968543873444312,0.3984053349004912,0.4415366642723182,0.767670011148272,0.39695057833859093,0.6891370278467053,0.5132957292506044
